objectsNumber = 30; 
values = [
[1.86954,8.50595,9.52933],
[1.3229,1.10391,1.46039],
[7.89209,6.26437,9.22717],
[8.05421,3.99832,2.75602],
[3.40478,8.13434,9.85497],
[2.33998,4.05232,1.30697],
[3.39587,2.5068,8.7792],
[2.8822,9.24991,3.14674],
[9.37237,9.42184,3.75919],
[6.66631,5.60854,2.78099],
[9.19588,4.0132,9.83987],
[9.5448,9.37779,1.46369],
[9.30809,8.98705,4.20872],
[1.95301,7.25539,6.24955],
[3.18383,2.60004,9.97125],
[3.76502,5.77535,7.38552],
[6.44086,5.48922,4.40229],
[6.38775,3.92845,7.52449],
[2.13552,5.7825,1.51384],
[6.10172,2.56613,6.99961],
[9.48183,4.01622,6.61862],
[5.15493,1.87185,2.27958],
[5.98548,1.87828,2.34699],
[4.891,3.06176,3.11335],
[6.17342,1.68689,7.58418],
[6.25338,4.57777,3.58101],
[9.0421,2.57616,4.64114],
[6.72006,8.98095,9.82624],
[5.59757,7.42145,7.22466],
[2.90008,3.76764,4.8158]
];
size = 71; 
